2.1 Organization Name,2.2 Project Name,2.4 ProjectType,2.5 Utilization Tracking Method (Invalid),2.6 Federal Grant Programs,5.8 Personal ID,5.9 Household ID,3.15 Relationship to HoH,3.16 Client Location,CaseMembers,3.10 Enroll Date,3.11 Exit Date,3.12 Exit Destination,3.2 Social Security Quality,3.3 Birthdate Quality,Age at Enrollment,Current Age,3.4 Race,3.5 Ethnicity,3.6 Gender,3.7 Veteran Status,3.8 Disabling Condition at Entry,3.917 Living Situation,3.917b Stayed Less Than 7 Nights,3.917 Stayed Less Than 90 Days,"3.917b Stayed in Streets, ES or SH Night Before",3.917 Length of Stay,3.917 Homeless Start Date,Length of Time Homeless (3.917 Approximate Start),3.917 Times Homeless Last 3 Years,3.917 Total Months Homeless Last 3 Years,V5 Last Permanent Address,V5 State,V5 Zip,Municipality (City or County),Days Enrolled in Project,RRH In Permanent Housing,RRH Date Of Move-In,Days Enrolled Until RRH Date of Move-in,4.1 Housing Status,4.4 Covered by Health Insurance,4.11 Domestic Violence,4.11 Domestic Violence - Currently Fleeing DV?,4.11 Domestic Violence - When it Occurred,4.13 Engagement Date,Days Enrolled Until Engagement Date,4.24 Current Status (Retired Data Element),4.24 In School (Retired Data Element),4.24 Connected to McKinney Vento Liason (Retired),Household Type,Latitude,Longitude,R1 Referral Source,R2 Date Status Determined,R2 Enroll Status,R2 Runaway Youth,R2 Reason Why No Services Funded,R3 Sexual Orientation,R4 Last Grade Completed,R5 School Status,R6 Employed Status,R6 Why Not Employed,R6 Type of Employment,R6 Looking for Work,R7 General Health Status,R8 Dental Health Status,R9 Mental Health Status,R10 Pregnancy Status,R10 Pregnancy Due Date,Client Record Restricted,InfoReleaseNo,Information Release Status,4.12 Contact Services,Date of Last Contact (Beta),Date of First Contact (Beta),Count of Bed Nights (Housing Check-ins),Date of Last ES Stay (Beta),Date of First ES Stay (Beta),4.2 Income Total at Entry,4.02 Total Income at Annual Update,4.2 Income Total at Exit,4.3 Non-Cash Benefit Count,4.3 Non-Cash Benefit Count at Exit,CurrentDate,Barrier Count at Entry,Chronic Homeless Status,ProgramType,SOAR Eligibility Determination (Most Recent),SOAR Enrollment Determination (Most Recent),RRH | Most Recent Enrollment,Street Outreach | Most Recent Enrollment,Coordinated Entry | Most Recent Enrollment,Emergency Shelter | Most Recent Enrollment,Transitional Housing | Most Recent Enrollment,PSH | Most Recent Enrollment,Prevention | Most Recent Enrollment,Under 25 Years Old,ClientID,4.10 Alcohol Abuse (Substance Abuse),4.07 Chronic Health Condition,4.06 Developmental Disability,4.10 Drug Abuse (Substance Abuse),4.08 HIV/AIDS,4.09 Mental Health Problem,4.05 Physical Disability,CaseChildren,CaseAdults,Bed Nights During Report Period,Count of Bed Nights - Entire Episode,HEN-HP Referral Most Recent,HEN-RRH Referral Most Recent,WorkSource Referral Most Recent,YAHP Referral Most Recent,4.04.10 Other Public,4.04.10 State Funded,4.04.11 Indian Health Services (IHS),4.04.12 Other,4.04.3 Combined Childrens HealthInsurance/Medicaid,4.04.3 Medicaid,4.04.4 Medicare,4.04.5 State Children's health Insurance S-CHIP,4.04.6 Veteran's Administration Medical Services,4.04.8 Health Insurance obtained through COBRA,4.04.7 Private - Employer,4.04.9 Private,4.04.9 Private - Individual,4.2.3a Earned Income,4.2.4b Unemployment Insurance,4.2.5c Supplemental Security Income,4.2.6d Social Security Disability  Income,4.2.7e VA Disability Compensation,4.2.8f VA Disability Pension,4.2.9g Private Disability Income,4.2.10h Workers Compensation,4.2.11i TANF,4.2.12j General Assistance,4.2.13k Retirement (Social Security),4.2.14l Pension from a Former Job,4.2.15m Child Support,4.2.16n Alimony,4.2.17o Other Income,Chronic Homeless Status_vHMISDatAssessment,Chronic Homeless Status_EvaluatevHMIS&HMISDA
Family Promise of Spokane,FPS--ES--Bridges Family Shelter,Emergency shelter,Entry/Exit (e/e),,77851,93695,Daughter,,6,10/15/2017 12:00 AM,1/14/2018 12:00 AM,"Rental by client, no ongoing housing subsidy",Full SSN,Full DOB Reported,15,18,White,Non-Hispanic/Latino,Female,,Missing,,,,,,,,,,,,,,91,,,No Move-In Date,,Yes,,,,,No Engagement Date,,,,Household with Adults and Children,,,,,,,,,,,,,,,,,,,,False,500,Client may be seen by others,0,,,0,,,,,,0,0,9/1/2020 12:20 PM,0,0,1,,,01/10/2018 - 01/31/2018: CC Partnership--RRH--Rehousing (CHG),,11/29/2017 - 12/31/2018: CC--CA-HFCA,10/15/2017 - 01/14/2018: FPS--ES--Bridges Family Shelter,,,,Yes,1,,,,,,,,3,3,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Bridges Family Shelter,Emergency shelter,Entry/Exit (e/e),,78141,93695,Daughter,,6,10/15/2017 12:00 AM,1/14/2018 12:00 AM,"Rental by client, no ongoing housing subsidy",Client Refused,Full DOB Reported,11,14,White,Non-Hispanic/Latino,Female,,Missing,,,,,,,,,,,,,,91,,,No Move-In Date,Category 1 - Homeless,Yes,,,,,No Engagement Date,,,,Household with Adults and Children,,,,,,,,,,,,,,,,,,,,False,500,Client may be seen by others,0,,,0,,,,,,0,0,9/1/2020 12:20 PM,0,0,1,,,,,11/29/2017 - 12/31/2018: CC--CA-HFCA,10/15/2017 - 01/14/2018: FPS--ES--Bridges Family Shelter,,,,Yes,1,,,,,,,,3,3,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Bridges Family Shelter,Emergency shelter,Entry/Exit (e/e),,67407,94894,Self,Spokane City & County CoC,3,1/14/2018 12:00 AM,4/28/2018 12:00 AM,"Rental by client, other ongoing housing subsidy",Full SSN,Full DOB Reported,39,41,White,Non-Hispanic/Latino,Female,No,Missing,"Emergency shelter, including hotel or motel paid for with emergency shelter voucher, or RHY-funded Host Home shelter",,,,"One month or more, but less than 90 days",10/1/2017 12:00 AM,209,One time,4,Data not collected,,,,104,,,No Move-In Date,Category 1 - Homeless,Yes,No,,,,No Engagement Date,,,,Household with Adults and Children,,,,,,,,,,,,,,,,,,,,True,500,Client may be seen by others,0,,,0,,,,,642,2,2,9/1/2020 12:20 PM,0,0,1,,,04/09/2018 - 05/31/2018: CC--RRH--WA0302--Rapid Rehousing for Families,,02/27/2018 - 05/01/2018: CC--CA-HFCA,01/14/2018 - 04/28/2018: FPS--ES--Bridges Family Shelter,,,,No,1,,,,,,,,2,1,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Bridges Family Shelter,Emergency shelter,Entry/Exit (e/e),,67409,94894,Son,,3,1/14/2018 12:00 AM,4/28/2018 12:00 AM,"Rental by client, other ongoing housing subsidy",Client Refused,Full DOB Reported,13,15,White,Non-Hispanic/Latino,Male,,Missing,,,,,,,,,,,,,,104,,,No Move-In Date,Category 1 - Homeless,Yes,,,,,No Engagement Date,,,,Household with Adults and Children,,,,,,,,,,,,,,,,,,,,True,500,Client may be seen by others,0,,,0,,,,,,0,0,9/1/2020 12:20 PM,0,0,1,,,04/09/2018 - 05/31/2018: CC--RRH--WA0302--Rapid Rehousing for Families,,02/27/2018 - 05/01/2018: CC--CA-HFCA,01/14/2018 - 04/28/2018: FPS--ES--Bridges Family Shelter,,,,Yes,1,,,,,,,,2,1,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Bridges Family Shelter,Emergency shelter,Entry/Exit (e/e),,67410,94894,Son,,3,1/14/2018 12:00 AM,4/28/2018 12:00 AM,"Rental by client, other ongoing housing subsidy",Client Refused,Full DOB Reported,11,13,White,Non-Hispanic/Latino,Male,,Missing,,,,,,,,,,,,,,104,,,No Move-In Date,,Yes,,,,,No Engagement Date,,,,Household with Adults and Children,,,,,,,,,,,,,,,,,,,,True,500,Client may be seen by others,0,,,0,,,,,,0,0,9/1/2020 12:20 PM,0,0,1,,,04/09/2018 - 05/31/2018: CC--RRH--WA0302--Rapid Rehousing for Families,,02/27/2018 - 05/01/2018: CC--CA-HFCA,01/14/2018 - 04/28/2018: FPS--ES--Bridges Family Shelter,,,,Yes,1,,,,,,,,2,1,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Bridges Family Shelter,Emergency shelter,Entry/Exit (e/e),,79235,95872,Self,Spokane City & County CoC,7,1/15/2018 12:00 AM,5/6/2018 12:00 AM,"Emergency shelter, including hotel or motel paid for with emergency shelter voucher, or RHY-funded Host Home shelter",Full SSN,Full DOB Reported,28,31,White,Non-Hispanic/Latino,Female,No,No,"Emergency shelter, including hotel or motel paid for with emergency shelter voucher, or RHY-funded Host Home shelter",,,,"One week or more, but less than one month",12/27/2017 12:00 AM,130,One time,One month (this time is the first month),,,,,111,,,No Move-In Date,Category 1 - Homeless,Yes,,,,,No Engagement Date,,,,Household with Adults and Children,,,,,,,,,,,,,,,,,,,,True,500,Client may be seen by others,0,,,0,,,,,373,0,1,9/1/2020 12:20 PM,0,0,1,,,,,02/27/2017 - 12/31/2018: CC--CA-HFCA,05/06/2018 - 05/26/2018: FPS--ES--Open Doors,,,,No,1,,,,,,,,4,3,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Bridges Family Shelter,Emergency shelter,Entry/Exit (e/e),,79237,95872,Daughter,,7,1/15/2018 12:00 AM,5/6/2018 12:00 AM,"Emergency shelter, including hotel or motel paid for with emergency shelter voucher, or RHY-funded Host Home shelter",Full SSN,Full DOB Reported,7,9,White,Non-Hispanic/Latino,Female,,No,,,,,,,,,,,,,,111,,,No Move-In Date,,Yes,,,,,No Engagement Date,,,,Household with Adults and Children,,,,,,,,,,,,,,,,,,,,True,500,Client may be seen by others,0,,,0,,,,,,0,0,9/1/2020 12:20 PM,0,0,1,,,,,02/27/2017 - 12/31/2018: CC--CA-HFCA,05/06/2018 - 05/26/2018: FPS--ES--Open Doors,,,,Yes,1,,,,,,,,4,3,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Bridges Family Shelter,Emergency shelter,Entry/Exit (e/e),,79238,95872,Son,,7,1/15/2018 12:00 AM,5/6/2018 12:00 AM,"Emergency shelter, including hotel or motel paid for with emergency shelter voucher, or RHY-funded Host Home shelter",Full SSN,Full DOB Reported,4,6,White,Non-Hispanic/Latino,Male,,No,,,,,,,,,,,,,,111,,,No Move-In Date,,Yes,,,,,No Engagement Date,,,,Household with Adults and Children,,,,,,,,,,,,,,,,,,,,True,500,Client may be seen by others,0,,,0,,,,,,0,0,9/1/2020 12:20 PM,0,0,1,,,,,02/27/2017 - 12/31/2018: CC--CA-HFCA,05/06/2018 - 05/26/2018: FPS--ES--Open Doors,,,,Yes,1,,,,,,,,4,3,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Bridges Family Shelter,Emergency shelter,Entry/Exit (e/e),,79239,95872,Son,,7,1/15/2018 12:00 AM,5/6/2018 12:00 AM,"Emergency shelter, including hotel or motel paid for with emergency shelter voucher, or RHY-funded Host Home shelter",Full SSN,Full DOB Reported,10,12,White,Non-Hispanic/Latino,Male,,Yes,,,,,,,,,,,,,,111,,,No Move-In Date,,Yes,,,,,No Engagement Date,,,,Household with Adults and Children,,,,,,,,,,,,,,,,,,,,True,500,Client may be seen by others,0,,,0,,,,,,0,0,9/1/2020 12:20 PM,0,0,1,,,,,02/27/2017 - 12/31/2018: CC--CA-HFCA,05/06/2018 - 05/26/2018: FPS--ES--Open Doors,,,,Yes,1,,,,,,,,4,3,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Bridges Family Shelter,Emergency shelter,Entry/Exit (e/e),,80863,95872,Spouse,,7,1/15/2018 12:00 AM,5/6/2018 12:00 AM,"Emergency shelter, including hotel or motel paid for with emergency shelter voucher, or RHY-funded Host Home shelter",Full SSN,Full DOB Reported,27,29,White,Non-Hispanic/Latino,Male,No,No,"Emergency shelter, including hotel or motel paid for with emergency shelter voucher, or RHY-funded Host Home shelter",,,,"One week or more, but less than one month",12/7/2017 12:00 AM,150,One time,One month (this time is the first month),,,,,111,,,No Move-In Date,Category 1 - Homeless,No,,,,,No Engagement Date,,,,Household with Adults and Children,,,,,,,,,,,,,,,,,,,,True,500,Client may be seen by others,0,,,0,,,,,,0,0,9/1/2020 12:20 PM,0,0,1,,,,,,05/06/2018 - 05/26/2018: FPS--ES--Open Doors,,,,No,1,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
